1550043361.322992,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.500000,0.500000,0.500000,0.500000,0.500000,0.500000:pos_vel_
1550043368.028107,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.055806,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.083456,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.111754,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.140243,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.167504,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.196734,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.224996,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.252949,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.280402,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.307462,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.334728,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.363956,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.392539,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.421047,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.448617,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.476804,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.504507,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.532683,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.560426,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.589689,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
1550043368.619703,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.250000,0.250000,0.250000,0.250000,0.250000,0.250000:pos_vel_
